スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
インポータント	important	IH2_M_P_AO1_R_T_AH0_N_T
テスター	tester	T_EH1_S_T_ER0
マイナスイオン	minus|ion	M_AY1_N_AH0_S|AY1_AA2_N
ディメンションメンバプロパティ	dimension|member|property	D_IH0_M_EH1_N_SH_AH0_N|M_EH1_M_B_ER0|P_R_AA1_P_ER0_T_IY0
ベリー	very	V_EH1_R_IY0
イデオロギッシュ	ideological	AY2_D_IY0_AH0_L_AA1_JH_IH0_K_AH0_L
エフェクト	effect	IH0_F_EH1_K_T
ボックス	box	B_AA1_K_S
ファインアート	fine|art	F_AY1_N|AA1_R_T
エレクトラコンプレックス	electra|complex	IH0_L_EH1_K_T_R_AH0|K_AA1_M_P_L_EH0_K_S
ノズル	nozzle	N_AA1_Z_AH0_L
ポリス	polis	P_OW1_L_AH0_S
ジャンプスーツ	jumpsuit	JH_AH1_M_P_S_UW2_T
ガスタービン	gas|turbine	G_AE1_S|T_ER1_B_AY0_N
コンポジション	composition	K_AA2_M_P_AH0_Z_IH1_SH_AH0_N
チャンピォン	champion	CH_AE1_M_P_IY0_AH0_N
ピーターパンシンドローム	peter|pan|syndrome	P_IY1_T_ER0|P_AE1_N|S_IH1_N_D_R_OW2_M
フレックス	flex	F_L_EH1_K_S
コハビテーション	cohabitation	K_OW0_HH_AE2_B_AH0_T_EY1_SH_AH0_N
パケットスイッチング	packet|switching	P_AE1_K_AH0_T|S_W_IH1_CH_IH0_NG
ベンゾジアゼピン	benzodiazepine	B_EH2_N_Z_OW0_D_IY0_AE1_Z_AH0_P_IY0_N
メディアン	median	M_IY1_D_IY0_AH0_N
フランチャイザー	franchiser	F_R_AE1_N_CH_AY2_Z_ER0
アンダー	under	AH1_N_D_ER0
ドクトリン	doctrine	D_AO1_K_T_ER0_IH0_N
ティースプーン	teaspoon	T_IY1_S_P_UW2_N
メインアンプ	main|amp	M_EY1_N|AE1_M_P
エアハンマー	air|hammer	EH1_R|HH_AE1_M_ER0
スプリント	sprint	S_P_R_IH1_N_T
マージ	merge	M_ER1_JH
スカルプトリートメント	scalp|treatment	S_K_AE1_L_P|T_R_IY1_T_M_AH0_N_T
ワインラック	wine|rack	W_AY1_N|R_AE1_K
ユニフィケーション	unification	Y_UW2_N_AH0_F_AH0_K_EY1_SH_AH0_N
オラトリオ	oratorio	AA2_R_AH0_T_AO1_R_IY0_OW0
トレードネーム	trade|name	T_R_EY1_D|N_EY1_M
ヨーロッパバイソン	europe|bison	Y_UH1_R_AH0_P|B_AY1_S_AH0_N
ピアノリサイタル	piano|recital	P_IY0_AE1_N_OW0|R_AH0_S_AY1_T_AH0_L
シェアードメモリ	shared|memory	SH_EH1_R_D|M_EH1_M_ER0_IY0
チェックブック	checkbook	CH_EH1_K_B_UH2_K
モーターイン	motor|inn	M_OW1_T_ER0|IH1_N
ターポン	tarpon	T_AA1_R_P_AH0_N
ニューカレドニア	new|caledonia	N_UW1|K_AE2_L_AH0_D_OW1_N_IY0_AH0
スピードリミット	speed|limit	S_P_IY1_D|L_IH1_M_AH0_T
リッスン	listen	L_IH1_S_AH0_N
トンキロ	ton|kilo	T_AH1_N|K_IY1_L_OW2
ホールトマト	whole|tomatoes	HH_OW1_L|T_AH0_M_EY1_T_OW0_Z
リボンカートリッジ	ribbon|cartridge	R_IH1_B_AH0_N|K_AA1_R_T_R_AH0_JH
リベート	rebate	R_IY1_B_EY2_T
オーダーエントリーシステム	order|entry|system	AO1_R_D_ER0|EH1_N_T_R_IY0|S_IH1_S_T_AH0_M
フォローシーン	follow|scene	F_AA1_L_OW0|S_IY1_N
スワジランド	swaziland	S_W_AA1_Z_IH0_L_AH0_N_D
サマリ	summary	S_AH1_M_ER0_IY0
コーラルシーグレゴリー	coral|sea|gregory	K_AO1_R_AH0_L|S_IY1|G_R_EH1_G_ER0_IY0
ソイ	soy	S_OY1
オフビート	off|beat	AO1_F|B_IY1_T
グレンチェック	glen|check	G_L_EH1_N|CH_EH1_K
ドキュメンタリ	documentary	D_AA2_K_Y_UW0_M_EH1_N_T_ER0_IY0
ファイブスター	five|star	F_AY1_V|S_T_AA1_R
レーザーディスク	laser|disk	L_EY1_Z_ER0|D_IH1_S_K
プロジェクトタスク	project|task	P_R_AA1_JH_EH0_K_T|T_AE1_S_K
シリンダ	cylinder	S_IH1_L_AH0_N_D_ER0
ロングドレス	long|dress	L_AO1_NG|D_R_EH1_S
ホイールマウス	wheel|mouse	W_IY1_L|M_AW1_S
カタログドプロシジャ	cataloged|procedure	K_AE1_T_AH0_L_AO0_G_D|P_R_AH0_S_IY1_JH_ER0
ブルーボーイ	blue|boy	B_L_UW1|B_OY1
フェスティヴァル	festival	F_EH1_S_T_AH0_V_AH0_L
ドメインネームシステム	domain|name|system	D_OW0_M_EY1_N|N_EY1_M|S_IH1_S_T_AH0_M
システムメニュー	system|menu	S_IH1_S_T_AH0_M|M_EH1_N_Y_UW0
エピグラム	epigram	EH1_P_AH0_G_R_AE2_M
ジョブホッパー	job|hopper	JH_AA1_B|HH_AA1_P_ER0
メディカルテクノロジスト	medical|technologist	M_EH1_D_AH0_K_AH0_L|T_EH2_K_N_AA1_L_AH0_JH_IH0_S_T
ミッションスクール	mission|school	M_IH1_SH_AH0_N|S_K_UW1_L
サービスガール	service|girl	S_ER1_V_AH0_S|G_ER1_L
ネフロン	nephron	N_EH1_F_R_AA0_N
ターニップ	turnip	T_ER1_N_AH0_P
スイスチャード	swiss|chard	S_W_IH1_S|CH_AA1_R_D
カンタロープ	cantaloupe	K_AE1_N_T_AH0_L_OW2_P
バレット	barret	B_AE1_R_IH0_T
メードインジャパン	made|in|japan	M_EY1_D|IH0_N|JH_AH0_P_AE1_N
プロトコルスイート	protocol|suite	P_R_OW1_T_AH0_K_AA2_L|S_W_IY1_T
エディンバラ	edinburgh	EH1_D_AH0_N_B_ER0_OW0
フルコンボ	full|combo	F_UH1_L|K_AA1_M_B_OW2
ダイナミックリンク	dynamic|link	D_AY0_N_AE1_M_IH0_K|L_IH1_NG_K
トレント	torrent	T_AO1_R_AH0_N_T
アーキタイプ	archetype	AA1_R_K_IH0_T_AY2_P
プルマンベッド	pullman|bed	P_UH1_L_M_AH0_N|B_EH1_D
ノッキング	knocking	N_AA1_K_IH0_NG
コールガール	call|girl	K_AO1_L|G_ER1_L
プラグ	plug	P_L_AH1_G
デモンストレーション	demonstration	D_EH2_M_AH0_N_S_T_R_EY1_SH_AH0_N
コアシステム	core|system	K_AO1_R|S_IH1_S_T_AH0_M
ワンダン	one|down	W_AH1_N|D_AW1_N
タピストリー	tapestry	T_AE1_P_AH0_S_T_R_IY0
クラス	class	K_L_AE1_S
シンクロナス	synchronous	S_IH1_NG_K_R_AH0_N_AH0_S
フェザープレーン	feather|plane	F_EH1_DH_ER0|P_L_EY1_N
ホーボー	hobo	HH_OW1_B_OW0
カラーセパレーション	color|separation	K_AH1_L_ER0|S_EH2_P_ER0_EY1_SH_AH0_N
スタンフォード	stanford	S_T_AE1_N_F_ER0_D
ダイヤモンドテトラ	diamond|tetra	D_AY1_M_AH0_N_D|T_EH1_T_R_AH0
ルイビトン	louis|vuitton	L_UW1_IH0_S|V_UH2_T_AO1_N
ネットワークファイルシステム	network|file|system	N_EH1_T_W_ER2_K|F_AY1_L|S_IH1_S_T_AH0_M
イエローベース	yellow|base	Y_EH1_L_OW0|B_EY1_S
プロ	pro	P_R_OW1
インコンプリート	incomplete	IH2_N_K_AH0_M_P_L_IY1_T
テープ	tape	T_EY1_P
マウスオポッサム	mouse|opossum	M_AW1_S|OW0_P_AA1_S_AH0_M
トイレットルーム	toilet|room	T_OY1_L_AH0_T|R_UW2_M
グレコローマンスタイル	greco-roman|style	G_R_EH2_K_OW0_R_OW1_M_AH0_N|S_T_AY1_L
アンチノック	antiknock	AE2_N_T_IY0_N_AA1_K
アプリケーションエンジニア	application|engineer	AE2_P_L_AH0_K_EY1_SH_AH0_N|EH1_N_JH_AH0_N_IH1_R
スケプチシズム	skepticism	S_K_EH1_P_T_IH0_S_IH2_Z_AH0_M
ストリーミングミュージック	streaming|music	S_T_R_IY1_M_IH0_NG|M_Y_UW1_Z_IH0_K
メインテーブル	main|table	M_EY1_N|T_EY1_B_AH0_L
プルドポーク	pulled|pork	P_UH1_L_D|P_AO1_R_K
ホビークラフト	hobby|craft	HH_AA1_B_IY0|K_R_AE1_F_T
フォークギター	folk|guitar	F_OW1_K|G_IH0_T_AA1_R
コンベックス	convex	K_AH0_N_V_EH1_K_S
ニューミュージック	new|music	N_UW1|M_Y_UW1_Z_IH0_K
プロアマ	pro|am	P_R_OW1|AE1_M
クレーター	crater	K_R_EY1_T_ER0
ストロングポイント	strong|point	S_T_R_AO1_NG|P_OY1_N_T
アドレスレンジ	address|range	AE1_D_R_EH2_S|R_EY1_N_JH
ポイントツウポイント	point|to|point	P_OY1_N_T|T_UW1|P_OY1_N_T
スタンザ	stanza	S_T_AE1_N_Z_AH0
ブリスター	blister	B_L_IH1_S_T_ER0
サン	sun	S_AH1_N
コールカッター	coal|cutter	K_OW1_L|K_AH1_T_ER0
シューズボックス	shoe|box	SH_UW1|B_AA1_K_S
テコンドー	taekwondo	T_AE1_K_W_AA2_N_D_OW1
アンクルブーツ	ankle|boots	AE1_NG_K_AH0_L|B_UW1_T_S
ニグロ	negro	N_IY1_G_R_OW0
クライアントサーバー	client|server	K_L_AY1_AH0_N_T|S_ER1_V_ER0
ランチョンマット	luncheon|mat	L_AH1_N_CH_AH0_N|M_AE1_T
ロースト	roast	R_OW1_S_T
モバイルバッテリー	mobile|battery	M_OW1_B_AH0_L|B_AE1_T_ER0_IY0
スライドショー	slide|show	S_L_AY1_D|SH_OW1
ディスポーザー	disposer	D_IH0_S_P_OW1_Z_ER0
マテリアルバランス	material|balance	M_AH0_T_IH1_R_IY0_AH0_L|B_AE1_L_AH0_N_S
コルテツエンジェルフィッシュ	cortez|angelfish	K_AO0_R_T_EH1_Z|EY1_N_JH_AH0_L_F_IH2_SH
キャップスリーブ	cap|sleeve	K_AE1_P|S_L_IY1_V
テレビジョンコンティニュイティー	television|continuity	T_EH1_L_AH0_V_IH2_ZH_AH0_N|K_AA2_N_T_AH0_N_UW1_AH0_T_IY0
マスセールス	mass|sales	M_AE1_S|S_EY1_L_Z
バックグラウンドプロセス	background|process	B_AE1_K_G_R_AW2_N_D|P_R_AA1_S_EH2_S
アーバニズム	urbanism	ER1_B_AH0_N_IH0_Z_M
パーシステンス	persistence	P_ER0_S_IH1_S_T_AH0_N_S
メスメリズム	mesmerism	M_EH1_S_M_ER0_IH2_Z_AH0_M
フローズンヨーグルト	frozen|yogurt	F_R_OW1_Z_AH0_N|Y_OW1_G_ER0_T
ホーア	whore	HH_AO1_R
ミルクセーキ	milk|shake	M_IH1_L_K|SH_EY1_K
ティラノサウルス	tyrannosaurus	T_IH0_R_AE0_N_AH0_S_AO1_R_AH0_S
マザーコンプレックス	mother|complex	M_AH1_DH_ER0|K_AA1_M_P_L_EH0_K_S
インターポール	interpol	IH1_N_T_ER0_P_OW2_L
リキュール	liqueur	L_IH0_K_ER1
ボックスセット	box|set	B_AA1_K_S|S_EH1_T
ピアノ	piano	P_IY0_AE1_N_OW0
シーズニング	seasoning	S_IY1_Z_AH0_N_IH0_NG
ソフトハイフン	soft|hyphen	S_AA1_F_T|HH_AY1_F_AH0_N
イメージメーカー	image|maker	IH1_M_AH0_JH|M_EY1_K_ER0
ノートン	norton	N_AO1_R_T_AH0_N
ブリキング	blinking	B_L_IH1_NG_K_IH0_NG
モンスターカスタマー	monster|customer	M_AA1_N_S_T_ER0|K_AH1_S_T_AH0_M_ER0
ダウト	doubt	D_AW1_T
シンクロ	synchro	S_IH1_NG_K_R_OW0
バットレスダム	buttress|dam	B_AH1_T_R_AH0_S|D_AE1_M
エンド	end	EH1_N_D
ラブラドールレトリバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
メリーランド	maryland	M_EH1_R_AH0_L_AH0_N_D
ビジラント	vigilant	V_IH1_JH_AH0_L_AH0_N_T
ロビイスト	lobbyist	L_AA1_B_IY0_AH0_S_T
インダストリアルパーク	industrial|park	IH2_N_D_AH1_S_T_R_IY0_AH0_L|P_AA1_R_K
オードコロン	eau|de|cologne	OW1|D_IY1|K_AH0_L_OW1_N
インフラ	infra	IH1_N_F_R_AH0
エンドルフィン	endorphin	EH0_N_D_AO1_R_F_IH0_N
ノルディック	nordic	N_AO1_R_D_IH0_K
アドミッタンス	admittance	AH0_D_M_IH1_T_AH0_N_S
プレーガイド	play|guide	P_L_EY1|G_AY1_D
マシンサイクル	machine|cycle	M_AH0_SH_IY1_N|S_AY1_K_AH0_L
アレインメント	arraignment	ER0_EY1_N_M_AH0_N_T
ワンダーボーイ	wonder|boy	W_AH1_N_D_ER0|B_OY1
アイテム	item	AY1_T_AH0_M
カヌー	canoe	K_AH0_N_UW1
マーケティングリサーチ	marketing|research	M_AA1_R_K_AH0_T_IH0_NG|R_IY0_S_ER1_CH
オープンスカイ	open|sky	OW1_P_AH0_N|S_K_AY1
ローリングミル	rolling|mill	R_OW1_L_IH0_NG|M_IH1_L
ジンクフィンガー	zinc|finger	Z_IH1_NG_K|F_IH1_NG_G_ER0
アジスアベバ	addis|ababa	AA1_D_IH0_S|AH0_B_AA1_B_AH0
ミュージック	music	M_Y_UW1_Z_IH0_K
デュプレックス	duplex	D_UW1_P_L_EH2_K_S
ブラックティー	black|tea	B_L_AE1_K|T_IY1
ホリデー	holiday	HH_AA1_L_AH0_D_EY2
フォローウインド	following|wind	F_AA1_L_OW0_IH0_NG|W_AY1_N_D
イネイブラー	enabler	EH0_N_EY1_B_AH0_L_ER0
バタフライバルブ	butterfly|valve	B_AH1_T_ER0_F_L_AY2|V_AE1_L_V
アプリケーションサービスプロバイダ	application|service|provider	AE2_P_L_AH0_K_EY1_SH_AH0_N|S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
ビキニモデル	bikini|model	B_IH0_K_IY1_N_IY0|M_AA1_D_AH0_L
プロテクション	protection	P_R_AH0_T_EH1_K_SH_AH0_N
ラドン	radon	R_EY1_D_AA2_N
トーブ	thobe	TH_OW1_B
グラフィックスプロセシングユニット	graphics|processing|unit	G_R_AE1_F_IH0_K_S|P_R_AA1_S_EH0_S_IH0_NG|Y_UW1_N_AH0_T
ミニシアター	mini|theater	S_M_AO1_L|TH_IY1_EY0_T_ER0
オクテット	octet	AA0_K_T_EH1_T
クリスマスリース	christmas|wreath	K_R_IH1_S_M_AH0_S|R_IY1_TH
スライドマスタ	slide|master	S_L_AY1_D|M_AE1_S_T_ER0
レンタリース	rent|lease	R_EH1_N_T|L_IY1_S
ファトゥワ	fatwa	F_AA1_T_W_AA0
トランザクションプログラム	transaction|program	T_R_AE0_N_Z_AE1_K_SH_AH0_N|P_R_OW1_G_R_AE2_M
オーム	ohm	OW1_M
パラグラフ	paragraph	P_AE1_R_AH0_G_R_AE2_F
ミニトマト	mini|tomato	M_IH1_N_IY0|T_AH0_M_EY1_T_OW2
ショールダーバッグ	shoulder|bag	SH_OW1_L_D_ER0|B_AE1_G
アリストクラット	aristocrat	ER0_IH1_S_T_AH0_K_R_AE2_T
インテグレート	integrate	IH1_N_T_AH0_G_R_EY2_T
ブロッブ	blob	B_L_AA1_B
ビーチクラフト	beech|craft	B_IY1_CH|K_R_AE0_F_T
スリム	slim	S_L_IH1_M
バッテイングセンター	batting|center	B_AE1_T_IH0_NG|S_EH1_N_T_ER1
ボディシェイミング	body|shaming	B_AA1_D_IY0|SH_EY1_M_IH0_NG
アクティビズム	activism	AE1_K_T_IH0_V_IH2_Z_AH0_M
パーソナリティー	personality	P_ER2_S_AH0_N_AE1_L_IH0_T_IY0
ブラケットクリープ	bracket|creep	B_R_AE1_K_IH0_T|K_R_IY1_P
ソーシャルディスタンス	social|distance	S_OW1_SH_AH0_L|D_IH1_S_T_AH0_N_S
アーカイブファイル	archive|file	AA1_R_K_AY2_V|F_AY1_L
バック	back	B_AE1_K
セールスフォースオートメーション	sales|force|automation	S_EY1_L_Z|F_AO1_R_S|AO0_T_AH0_M_EY1_SH_AH0_N
パトス	pathos	P_EY1_TH_AA0_S
ショウタイム	show|time	SH_OW1|T_AY1_M
アウトルック	outlook	AW1_T_L_UH2_K
ガスメーター	gas|meter	G_AE1_S|M_IY1_T_ER0
クレバー	clever	K_L_EH1_V_ER0
ヒスタミン	histamine	HH_IH1_S_T_AH0_M_IY2_N
ヒートポンプ	heat|pump	HH_IY1_T|P_AH1_M_P
ハンター	hunter	HH_AH1_N_T_ER0
ウェブエクスプローラ	web|explorer	W_EH1_B|IH0_K_S_P_L_AO1_R_ER0
カレドニアン	caledonian	K_AE2_L_IH0_D_OW1_N_IY0_AH0_N
ストレートフラッシュ	straight|flush	S_T_R_EY1_T|F_L_AH1_SH
スライドフィルム	slide|film	S_L_AY1_D|F_IH1_L_M
レコードコンサート	record|concert	R_AH0_K_AO1_R_D|K_AA1_N_S_ER0_T
ファンアウト	fan|out	F_AE1_N|AW1_T
スノーシュー	snowshoes	S_N_OW1_SH_UW2_Z
キッチンキャビネット	kitchen|cabinet	K_IH1_CH_AH0_N|K_AE1_B_AH0_N_AH0_T
メインストリーム	mainstream	M_EY1_N_S_T_R_IY2_M
カシュー	cashew	K_AE1_SH_UW2
ベルトコンベア	belt|conveyor	B_EH1_L_T|K_AH0_N_V_EY1_ER0
ハーキュリーズ	hercules	HH_ER1_K_Y_AH0_L_IY2_Z
オープンキャプション	open|caption	OW1_P_AH0_N|K_AE1_P_SH_AH0_N
レッドシフト	red|shift	R_EH1_D|SH_IH1_F_T
スリット	slit	S_L_IH1_T
センド	send	S_EH1_N_D
アプリコット	apricot	EY1_P_R_AH0_K_AA2_T
ハプニング	happening	HH_AE1_P_AH0_N_IH0_NG
リアリティー	reality	R_IY2_AE1_L_AH0_T_IY2
スチールウール	steel|wool	S_T_IY1_L|W_UH1_L
エゴ	ego	IY1_G_OW0
ギアトレーン	gear|train	G_IH1_R|T_R_EY1_N
キニーネ	quinine	K_W_AY1_N_AY2_N
アーケイックスマイル	archaic|smile	AA0_R_K_EY1_IH0_K|S_M_AY1_L
タイゴン	tigon	T_IH1_G_AH0_N
ドラムプリンタ	drum|printer	D_R_AH1_M|P_R_IH1_N_T_ER0
コマースサーバー	commerce|server	K_AA1_M_ER0_S|S_ER1_V_ER0
ダブルジョーゼット	double|georgette	D_AH1_B_AH0_L|JH_AO0_R_JH_EH1_T
ノミナルレート	nominal|rate	N_AA1_M_AH0_N_AH0_L|R_EY1_T
ミュージアム	museum	M_Y_UW0_Z_IY1_AH0_M
コンガ	conga	K_AO1_NG_G_AH0
レシピエント	recipient	R_AH0_S_IH1_P_IY0_AH0_N_T
チップショット	chip|shot	CH_IH1_P|SH_AA1_T
クラフトユニオン	craft|union	K_R_AE1_F_T|Y_UW1_N_Y_AH0_N
マニュアルシフト	manual|shift	M_AE1_N_Y_UW0_AH0_L|SH_IH1_F_T
イメージレスポンス	image|response	IH1_M_AH0_JH|R_IH0_S_P_AA1_N_S
アンマネージドコード	unmanaged|code	AH0_N_M_AE1_N_IH0_JH_D|K_OW1_D
スーパーライス	super|rice	S_UW1_P_ER0|R_AY1_S
クロスベルト	cross|belt	K_R_AO1_S|B_EH1_L_T
メープルシュガー	maple|sugar	M_EY1_P_AH0_L|SH_UH1_G_ER0
ファンジェット	fan|jet	F_AE1_N|JH_EH1_T
コンパクト	compact	K_AA1_M_P_AE0_K_T
ゲッター	getter	G_EH1_T_ER0
ステレオ	stereo	S_T_EH1_R_IY0_OW2
メッセンジャー	messenger	M_EH1_S_AH0_N_JH_ER0
タイカレー	thai|curry	T_AY1|K_AH1_R_IY0
オンザロック	on|the|rock	AA1_N|DH_AH0|R_AA1_K
センチュリー	century	S_EH1_N_CH_ER0_IY0
ファクション	faction	F_AE1_K_SH_AH0_N
スカイラーク	skylark	S_K_AY1_L_AA2_R_K
オーバーパー	over|par	OW1_V_ER0|P_AA1_R
ショッピングモール	shopping|mall	SH_AA1_P_IH0_NG|M_AO1_L
ライコス	lycos	L_AY1_K_OW0_S
チャージャー	charger	CH_AA1_R_JH_ER0
ベッドテクニック	bed|technique	B_EH1_D|T_EH0_K_N_IY1_K
グラミー	grammy	G_R_AE1_M_IY0
ホップステップジャンプ	hop|step|jump	HH_AA1_P|S_T_EH1_P|JH_AH1_M_P
マリンパーク	marine|park	M_ER0_IY1_N|P_AA1_R_K
スプレードライ	spray|dry	S_P_R_EY1|D_R_AY1
クロージング	clothing	K_L_OW1_DH_IH0_NG
ウエイトコントロール	weight|control	W_EY1_T|K_AH0_N_T_R_OW1_L
バレット	balletto	B_AE2_L_EH1_T_OW0
グリーンベルト	green|belt	G_R_IY1_N|B_EH1_L_T
ポプリン	poplin	P_AA1_P_L_IH0_N
サーボブレーキ	servo|brake	S_ER1_V_OW0|B_R_EY1_K
スーパバイザコール	supervisor|call	S_UW1_P_ER0_V_AY2_Z_ER0|K_AO1_L
ベクターフォント	vector|font	V_EH1_K_T_ER0|F_AA1_N_T
コールドウォー	cold|war	K_OW1_L_D|W_AO1_R
ドバイ	dubai	D_UW0_B_AY1
プロフェショナル	professional	P_R_AH0_F_EH1_SH_AH0_N_AH0_L
アウトドア	outdoor	AW1_T_D_AO2_R
シービーム	sea|beam	S_IY1|B_IY1_M
クラスタ	cluster	K_L_AH1_S_T_ER0
ピクセル	pixel	P_IH1_K_S_AH0_L
ギアナ	guiana	G_IY0_AA1_N_AH0
トレジャー	treasure	T_R_EH1_ZH_ER0
ファイルシステム	file|system	F_AY1_L|S_IH1_S_T_AH0_M
バランサー	balancer	B_AE1_L_AH0_N_S_ER0
プロトン	proton	P_R_OW1_T_AA2_N
マサイ	masai	M_AA0_S_AA1_IY0
グリーンブック	green|book	G_R_IY1_N|B_UH1_K
ゲリラ	guerrilla	G_ER0_IH1_L_AH0
オートミール	oatmeal	OW1_T_M_IY2_L
シネマコンプレックス	cinema|complex	S_IH1_N_AH0_M_AH0|K_AA1_M_P_L_EH0_K_S
ジステンパー	distemper	D_IH0_S_T_EH1_M_P_ER0
フォントファミリ	font|family	F_AA1_N_T|F_AE1_M_AH0_L_IY0
フォローバック	follow|back	F_AA1_L_OW0|B_AE1_K
サート	cert	S_ER1_T
ライトノベル	light|novel	L_AY1_T|N_AA1_V_AH0_L
ボーランド	borland	B_AO1_R_L_AH0_N_D
アクティブチャネル	active|channel	AE1_K_T_IH0_V|CH_AE1_N_AH0_L
コマーシャルベース	commercial|base	K_AH0_M_ER1_SH_AH0_L|B_EY1_S
ジンク	zinc	Z_IH1_NG_K
マキシム	maxim	M_AE1_K_S_AH0_M
ウォレット	wallet	W_AO1_L_AH0_T
スライディングキャッチ	sliding|catch	S_L_AY1_D_IH0_NG|K_AE1_CH
キャパシティービルディング	capacity|building	K_AH0_P_AE1_S_AH0_T_IY0|B_IH1_L_D_IH0_NG
サッサフラス	sassafras	S_AE1_S_AH0_F_R_AE2_S
ルームクーラー	room|cooler	R_UW1_M|K_UW1_L_ER0
オリガーキー	oligarchy	AA1_L_AH0_G_AA2_R_K_IY0
バミューダパンツ	bermuda|shorts	B_ER0_M_Y_UW1_D_AH0|SH_AO1_R_T_S
ザッツオール	that's|all	DH_AE1_T_S|AO1_L
ヒンジ	hinge	HH_IH1_N_JH
オーガー	ogre	OW1_G_ER0
ブラックボックス	black|box	B_L_AE1_K|B_AA1_K_S
ドライシャンプー	dry|shampoo	D_R_AY1|SH_AE0_M_P_UW1
ジャイアント	giant	JH_AY1_AH0_N_T
シャットダウン	shutdown	SH_AH1_T_D_AW2_N
リトマス	litmus	L_IH1_T_M_AH0_S
サイファイ	sci|fi	S_AY2_F_AY1
ハンドル	handle	HH_AE1_N_D_AH0_L
ナンバー	number	N_AH1_M_B_ER0
シス	sis	S_IH1_S
アップロード	upload	AH1_P_L_OW2_D
ティッカー	ticker	T_IH1_K_ER0
マネーメーカー	moneymaker	M_AH1_N_IY0_M_EY2_K_ER0
バッチプログラム	batch|program	B_AE1_CH|P_R_OW1_G_R_AE2_M
キャットニップ	cat|nip	K_AE1_T|N_IH1_P
サーフローラー	surf|roller	S_ER1_F|R_OW1_L_ER0
トラクタフィーダ	tractor|feeder	T_R_AE1_K_T_ER0|F_IY1_D_ER0
ワンスモア	once|more	W_AH1_N_S|M_AO1_R
シューター	shooter	SH_UW1_T_ER0
クリムソン	crimson	K_R_IH1_M_Z_AH0_N
プレイモード	play|mode	P_L_EY1|M_OW1_D
デザインプロモーター	design|promoter	D_IH0_Z_AY1_N|P_R_AH0_M_OW1_T_ER0
システムアドミニストレーター	system|administrator	S_IH1_S_T_AH0_M|AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
クラウンゴール	crown|gall	K_R_AW1_N|G_AO1_L
トゥール	tool	T_UW1_L
エアサービス	air|service	EH1_R|S_ER1_V_AH0_S
プリンスメロン	prince|melon	P_R_IH1_N_S|M_EH1_L_AH0_N
リターナブル	returnable	R_IY0_T_ER1_N_AH0_B_AH0_L
カウンターアタック	counter|attack	K_AW1_N_T_ER0|AH0_T_AE1_K
スーパーマーケット	supermarket	S_UW1_P_ER0_M_AA2_R_K_IH0_T
コア	core	K_AO1_R
サウジアラビア	saudi|arabia	S_AO1_D_IY0|AH0_R_EY1_B_IY0_AH0
ソリシター	solicitor	S_AH0_L_IH1_S_AH0_T_ER0
プレハブ	prefab	P_R_IY1_F_AE1_B
ラッフル	ruffle	R_AH1_F_AH0_L
ショーガール	show|girl	SH_OW1|W_IH1_N_D_OW4
フィッシング	fishing	F_IH1_SH_IH0_NG
チェリーボーイ	cherry|boy	CH_EH1_R_IY0|B_OY1
エアポートタックス	airport|tax	EH1_R_P_AO2_R_T|T_AE1_K_S
コモディティー	commodity	K_AH0_M_AA1_D_AH0_T_IY0
リフレクティブ	reflective	R_IH0_F_L_EH1_K_T_IH0_V
トレブル	treble	T_R_EH1_B_AH0_L
シルバーシャーク	silver|shark	S_IH1_L_V_ER0|SH_AA1_R_K
ファーストキス	first|kiss	F_ER1_S_T|K_IH1_S
ナパーム	napalm	N_EY1_P_AA0_M
ビーンボール	bean|ball	B_IY1_N|B_AO1_L
キンカン	kumquat	K_AH1_M_K_W_AA0_T
イブニングドレス	evening|dress	IY1_V_N_IH0_NG|D_R_EH1_S
ジャケット	jacket	JH_AE1_K_AH0_T
ポロコート	polo|coat	P_OW1_L_OW0|K_OW1_T
グアテマラ	guatemala	G_W_AA2_T_AH0_M_AA1_L_AH0
ノルディックコンバインド	nordic|combined	N_AO1_R_D_IH0_K|K_AH0_M_B_AY1_N_D
プライズ	prize	P_R_AY1_Z
スキルインベントリーシステム	skills|inventory|system	S_K_IH1_L_Z|IH2_N_V_AH0_N_T_AO1_R_IY0|S_IH1_S_T_AH0_M
リセットモード	reset|mode	R_IY0_S_EH1_T|M_OW1_D
ローカルファイル	local|file	L_OW1_K_AH0_L|F_AY1_L
ダンディー	dandy	D_AE1_N_D_IY0
ツイーザーズ	tweezers	T_W_IY1_Z_ER0_Z
ハミルトニアン	hamiltonian	HH_AE1_M_AH0_L_T_OW2_N_Y_AH0_N
ウインウイン	win|win	W_IH1_N|W_IH1_N
バスローブ	bathrobe	B_AE1_TH_R_OW2_B
ボーダーライン	border|line	B_AO1_R_D_ER0|L_AY1_N
カリスマ	charisma	K_ER0_IH1_Z_M_AH0
グラムイオン	gram|ion	G_R_AE1_M|AY1_AA2_N
ストアコントローラ	store|controller	S_T_AO1_R|K_AH0_N_T_R_OW1_L_ER0
ボリュームゾーン	volume|zone	V_AA1_L_Y_UW0_M|Z_OW1_N
